id,flight_no,airline_code,airline_name,origin,destination,departure_scheduled,arrival_scheduled,status,delay_minutes,delay_reason,terminal,gate,aircraft_type,seats_total,seats_booked,fare_inr
1028,AI918,AI,Air India,BLR,DEL,2025-11-06 08:45,2025-11-06 10:10,Delayed,30,Technical,T2,C16,A320neo,210,49,11258
1029,G8433,G8,Go First,COK,HYD,2025-11-07 13:45,2025-11-07 16:22,On Time,0,,T1,A17,ATR-72,72,36,6640
1030,IX697,IX,Air India Express,PAT,GOI,2025-11-07 21:35,2025-11-08 00:33,On Time,0,,T2,A17,B737 MAX,180,166,8622
1031,SG895,SG,SpiceJet,DEL,VNS,2025-11-07 10:50,2025-11-07 11:41,On Time,0,,T2,A20,A320neo,210,163,5752
1032,AI669,AI,Air India,AMD,NAG,2025-11-07 06:30,2025-11-07 09:23,Cancelled,0,,T1,A14,A320neo,72,0,4830
1033,AI619,AI,Air India,MAA,DEL,2025-11-07 19:45,2025-11-07 20:42,On Time,0,,T4,A9,A321,186,166,9680
1034,6E809,6E,IndiGo,AMD,COK,2025-11-07 13:40,2025-11-07 16:40,On Time,0,,T4,D9,B737 MAX,186,100,2943
1035,UK672,UK,Vistara,NAG,COK,2025-11-07 11:40,2025-11-07 13:05,On Time,0,,T1,C14,B737-800,210,155,7854
1036,IX346,IX,Air India Express,CCU,BOM,2025-11-07 18:10,2025-11-07 19:54,Delayed,20,Crew,T1,B19,A320neo,180,129,3962
1037,SG324,SG,SpiceJet,PAT,BLR,2025-11-07 08:35,2025-11-07 11:29,On Time,0,,T2,B1,A320neo,150,120,10874
1038,SG447,SG,SpiceJet,PNQ,COK,2025-11-07 18:20,2025-11-07 20:41,Delayed,15,Crew,T1,C1,ATR-72,180,129,5147
1039,SG820,SG,SpiceJet,COK,GOI,2025-11-07 05:35,2025-11-07 07:49,On Time,0,,T3,D7,B737 MAX,189,53,2733
1040,6E997,6E,IndiGo,BOM,PAT,2025-11-07 08:10,2025-11-07 10:07,On Time,0,,T1,B15,A320neo,150,64,8869
1041,SG969,SG,SpiceJet,JAI,BLR,2025-11-07 13:35,2025-11-07 15:03,On Time,0,,T4,D9,ATR-72,189,120,4348
1042,AI918,AI,Air India,BOM,MAA,2025-11-07 10:35,2025-11-07 11:43,On Time,0,,T1,B15,ATR-72,180,58,11792
1043,6E168,6E,IndiGo,BOM,AMD,2025-11-08 13:10,2025-11-08 15:56,On Time,0,,T3,A2,B737 MAX,72,40,7850
1044,G8232,G8,Go First,PAT,MAA,2025-11-08 06:45,2025-11-08 08:36,On Time,0,,T2,A15,A321,189,49,3350
1045,UK743,UK,Vistara,BLR,HYD,2025-11-08 14:45,2025-11-08 16:27,Delayed,20,Crew,T4,B18,B737 MAX,150,116,10569
1046,AI356,AI,Air India,CCU,JAI,2025-11-08 06:00,2025-11-08 06:54,On Time,0,,T2,D5,B737 MAX,150,90,9371
1047,SG208,SG,SpiceJet,HYD,PAT,2025-11-08 18:40,2025-11-08 21:10,On Time,0,,T3,D5,ATR-72,72,27,9042
1048,6E952,6E,IndiGo,HYD,CCU,2025-11-08 09:35,2025-11-08 11:53,On Time,0,,T2,A7,A320,186,55,5412
1049,UK541,UK,Vistara,IXC,NAG,2025-11-08 10:00,2025-11-08 11:11,Delayed,90,Crew,T3,C9,B737 MAX,150,61,11606
1050,6E261,6E,IndiGo,DEL,GOI,2025-11-08 13:40,2025-11-08 14:30,Delayed,30,Technical,T3,B14,A321,72,49,6511
1051,UK323,UK,Vistara,DEL,PAT,2025-11-08 16:15,2025-11-08 17:05,On Time,0,,T4,C3,A320,150,90,3506
1052,IX305,IX,Air India Express,MAA,COK,2025-11-08 12:45,2025-11-08 13:36,On Time,0,,T3,A12,A320,189,73,8899
1053,AI503,AI,Air India,PNQ,AMD,2025-11-08 05:25,2025-11-08 07:32,Cancelled,0,,T1,B10,B737 MAX,72,0,8446
1054,6E773,6E,IndiGo,VNS,JAI,2025-11-08 17:30,2025-11-08 20:26,On Time,0,,T3,A20,ATR-72,210,200,6078
1055,AI944,AI,Air India,IXC,BLR,2025-11-08 21:35,2025-11-09 00:34,Delayed,90,Technical,T1,A18,ATR-72,150,104,10427
1056,AI236,AI,Air India,BOM,DEL,2025-11-08 16:10,2025-11-08 18:36,On Time,0,,T1,C18,ATR-72,180,40,9072
1057,SG370,SG,SpiceJet,IXC,HYD,2025-11-09 05:40,2025-11-09 06:47,On Time,0,,T1,D5,ATR-72,186,171,3872
1058,IX585,IX,Air India Express,BOM,NAG,2025-11-09 13:10,2025-11-09 15:07,On Time,0,,T2,B11,A320neo,150,124,5782
1059,SG965,SG,SpiceJet,IXC,GOI,2025-11-09 17:10,2025-11-09 20:02,On Time,0,,T1,B17,B737 MAX,150,110,6020
1060,AI714,AI,Air India,IXC,HYD,2025-11-09 09:30,2025-11-09 11:25,On Time,0,,T2,B19,A320,150,91,10868
1061,UK788,UK,Vistara,DEL,GOI,2025-11-09 08:20,2025-11-09 11:15,On Time,0,,T3,B18,B737-800,72,43,7513
1062,AI662,AI,Air India,GOI,JAI,2025-11-09 11:25,2025-11-09 12:36,On Time,0,,T1,D1,A321,189,154,3308
1063,G8560,G8,Go First,BOM,VNS,2025-11-09 13:35,2025-11-09 15:18,Cancelled,0,,T1,B7,B737 MAX,210,0,10031
1064,G8368,G8,Go First,BLR,NAG,2025-11-09 16:15,2025-11-09 19:15,On Time,0,,T1,B16,ATR-72,72,37,2866
1065,SG503,SG,SpiceJet,HYD,GOI,2025-11-09 05:15,2025-11-09 06:05,On Time,0,,T4,D3,B737-800,150,68,11339
1066,SG452,SG,SpiceJet,NAG,BLR,2025-11-09 17:30,2025-11-09 18:50,Delayed,45,Weather,T1,C3,A321,186,123,9334
1067,IX112,IX,Air India Express,PAT,HYD,2025-11-09 14:25,2025-11-09 16:50,Delayed,60,Weather,T4,A9,B737-800,72,69,9879
1068,SG873,SG,SpiceJet,CCU,PAT,2025-11-09 13:00,2025-11-09 15:01,On Time,0,,T1,A14,ATR-72,150,66,3591
1069,6E355,6E,IndiGo,IXC,PAT,2025-11-09 13:35,2025-11-09 16:35,On Time,0,,T2,C1,A321,186,146,6927
1070,IX509,IX,Air India Express,PAT,DEL,2025-11-09 22:45,2025-11-10 00:27,On Time,0,,T1,A11,ATR-72,72,40,3263
1071,6E759,6E,IndiGo,GOI,AMD,2025-11-09 14:40,2025-11-09 15:42,On Time,0,,T2,D11,A320neo,210,162,4975
1072,UK404,UK,Vistara,PNQ,CCU,2025-11-09 13:25,2025-11-09 15:58,On Time,0,,T3,B11,B737-800,180,178,4158
1073,IX265,IX,Air India Express,BOM,BLR,2025-11-10 07:20,2025-11-10 10:18,On Time,0,,T2,D4,B737-800,210,127,6437
1074,SG242,SG,SpiceJet,JAI,GOI,2025-11-10 22:20,2025-11-11 00:12,On Time,0,,T2,A12,A321,180,178,4243
1075,6E477,6E,IndiGo,BOM,CCU,2025-11-10 13:50,2025-11-10 15:31,On Time,0,,T4,A3,B737-800,72,40,4070
1076,6E485,6E,IndiGo,NAG,COK,2025-11-10 13:30,2025-11-10 14:35,Delayed,20,Late inbound,T3,D4,B737 MAX,210,134,7931
1077,6E194,6E,IndiGo,COK,IXC,2025-11-10 13:20,2025-11-10 15:48,Delayed,15,Technical,T4,C12,B737-800,180,115,10074
1078,IX882,IX,Air India Express,DEL,PNQ,2025-11-10 20:50,2025-11-10 23:45,On Time,0,,T1,A1,B737-800,72,66,4169
1079,SG559,SG,SpiceJet,COK,VNS,2025-11-10 12:10,2025-11-10 13:57,Delayed,15,ATC Congestion,T2,A20,B737 MAX,72,57,8020
1080,AI101,AI,Air India,BOM,COK,2025-11-10 09:20,2025-11-10 10:19,On Time,0,,T2,B19,ATR-72,210,106,10930
1081,SG815,SG,SpiceJet,COK,IXC,2025-11-10 08:10,2025-11-10 09:18,On Time,0,,T2,B19,B737-800,186,103,11600
1082,G8101,G8,Go First,HYD,JAI,2025-11-10 05:45,2025-11-10 07:52,Delayed,20,ATC Congestion,T3,C19,A321,72,55,10783
1083,G8352,G8,Go First,COK,HYD,2025-11-10 05:35,2025-11-10 07:43,On Time,0,,T1,A8,A320neo,150,93,8000
1084,IX530,IX,Air India Express,PAT,IXC,2025-11-10 07:25,2025-11-10 09:13,Cancelled,0,,T3,C15,A320neo,72,0,8717
1085,UK835,UK,Vistara,DEL,NAG,2025-11-10 18:30,2025-11-10 21:01,On Time,0,,T1,B6,A321,186,166,5097
1086,SG305,SG,SpiceJet,BOM,HYD,2025-11-10 14:20,2025-11-10 16:09,On Time,0,,T2,C20,A321,180,111,6099
1087,SG724,SG,SpiceJet,BOM,AMD,2025-11-10 10:20,2025-11-10 13:14,On Time,0,,T1,C14,B737 MAX,189,74,4441
1088,AI710,AI,Air India,DEL,HYD,2025-11-11 09:35,2025-11-11 10:38,On Time,0,,T2,A8,B737-800,150,87,6808
1089,UK850,UK,Vistara,PAT,NAG,2025-11-11 08:10,2025-11-11 09:42,Delayed,90,ATC Congestion,T2,C3,A320neo,186,171,5711
1090,IX842,IX,Air India Express,DEL,MAA,2025-11-11 17:30,2025-11-11 19:44,On Time,0,,T2,C17,A320,72,14,6255
1091,AI459,AI,Air India,BOM,MAA,2025-11-11 18:10,2025-11-11 19:53,Delayed,45,Weather,T3,C9,A321,72,66,8770
1092,SG300,SG,SpiceJet,DEL,NAG,2025-11-11 16:45,2025-11-11 19:29,Delayed,45,Weather,T3,B5,A321,72,61,11126
1093,6E931,6E,IndiGo,IXC,PNQ,2025-11-11 17:00,2025-11-11 19:26,On Time,0,,T4,A5,A320,180,51,8165
1094,IX164,IX,Air India Express,MAA,HYD,2025-11-11 15:30,2025-11-11 17:29,On Time,0,,T1,C3,A321,186,118,4991
1095,UK103,UK,Vistara,PAT,MAA,2025-11-11 07:00,2025-11-11 08:49,Delayed,45,Crew,T4,A14,ATR-72,150,89,7505
1096,SG235,SG,SpiceJet,PAT,PNQ,2025-11-11 20:15,2025-11-11 21:07,Delayed,30,Crew,T2,B19,B737 MAX,180,96,3648
1097,G8180,G8,Go First,GOI,CCU,2025-11-11 21:20,2025-11-11 23:50,On Time,0,,T2,B1,B737-800,180,52,8335
1098,SG665,SG,SpiceJet,IXC,DEL,2025-11-11 22:30,2025-11-12 00:01,On Time,0,,T1,C15,A320,72,30,2996
1099,6E198,6E,IndiGo,AMD,BOM,2025-11-11 18:40,2025-11-11 21:24,On Time,0,,T2,B3,A320neo,189,143,10223
1100,IX340,IX,Air India Express,GOI,AMD,2025-11-11 22:10,2025-11-12 00:15,On Time,0,,T3,B18,B737 MAX,186,105,8780
1101,IX366,IX,Air India Express,CCU,MAA,2025-11-11 11:40,2025-11-11 13:33,Delayed,30,Late inbound,T2,B4,A320neo,210,81,11636
1102,AI505,AI,Air India,HYD,CCU,2025-11-11 13:20,2025-11-11 16:19,On Time,0,,T2,D8,ATR-72,186,62,9393
1103,AI586,AI,Air India,DEL,BOM,2025-11-12 12:40,2025-11-12 15:05,On Time,0,,T3,A6,A320neo,210,72,6279
1104,G8947,G8,Go First,DEL,HYD,2025-11-12 11:10,2025-11-12 13:35,On Time,0,,T2,D6,B737-800,72,52,7608
1105,IX106,IX,Air India Express,MAA,JAI,2025-11-12 08:50,2025-11-12 11:09,On Time,0,,T1,B8,A321,180,123,9517
1106,6E361,6E,IndiGo,BLR,DEL,2025-11-12 06:50,2025-11-12 08:32,On Time,0,,T3,A2,B737-800,150,116,5328
1107,G8419,G8,Go First,CCU,BLR,2025-11-12 07:20,2025-11-12 08:18,On Time,0,,T4,D4,A320,72,40,4607
1108,SG779,SG,SpiceJet,BOM,JAI,2025-11-12 22:15,2025-11-12 23:28,On Time,0,,T4,B1,ATR-72,72,31,11802
1109,IX414,IX,Air India Express,PNQ,MAA,2025-11-12 18:00,2025-11-12 20:09,On Time,0,,T3,D13,B737-800,210,148,5207
1110,UK759,UK,Vistara,DEL,VNS,2025-11-12 11:35,2025-11-12 14:08,On Time,0,,T1,B7,B737-800,72,71,11035
1111,AI940,AI,Air India,BLR,PNQ,2025-11-12 07:35,2025-11-12 09:58,Delayed,15,Late inbound,T2,C19,A320neo,189,40,5140
1112,SG191,SG,SpiceJet,BLR,IXC,2025-11-12 16:45,2025-11-12 18:18,On Time,0,,T3,A19,A321,186,78,5507
1113,AI211,AI,Air India,COK,BLR,2025-11-12 17:40,2025-11-12 19:20,On Time,0,,T2,B19,A320,210,165,5374
1114,G8751,G8,Go First,CCU,DEL,2025-11-12 17:10,2025-11-12 18:41,On Time,0,,T4,B9,B737 MAX,150,138,6084
1115,SG287,SG,SpiceJet,HYD,VNS,2025-11-12 11:00,2025-11-12 13:32,On Time,0,,T2,D7,B737-800,210,133,4160
1116,6E842,6E,IndiGo,BOM,BLR,2025-11-12 11:00,2025-11-12 11:59,On Time,0,,T1,C2,B737-800,150,106,8181
1117,IX896,IX,Air India Express,GOI,COK,2025-11-12 14:35,2025-11-12 16:43,On Time,0,,T2,D15,B737-800,186,136,8452
1118,SG283,SG,SpiceJet,GOI,COK,2025-11-13 05:00,2025-11-13 07:55,On Time,0,,T2,C20,B737-800,210,200,6997
1119,SG956,SG,SpiceJet,JAI,VNS,2025-11-13 10:40,2025-11-13 13:12,On Time,0,,T1,A14,A320neo,150,75,4774
1120,AI921,AI,Air India,PNQ,CCU,2025-11-13 19:45,2025-11-13 22:45,On Time,0,,T1,A6,ATR-72,210,75,3353
1121,IX421,IX,Air India Express,BOM,PAT,2025-11-13 21:10,2025-11-13 22:13,On Time,0,,T4,D5,ATR-72,150,130,4762
1122,AI728,AI,Air India,BLR,DEL,2025-11-13 08:20,2025-11-13 09:43,Delayed,15,Crew,T3,D3,A320neo,189,93,3900
1123,UK262,UK,Vistara,AMD,JAI,2025-11-13 15:50,2025-11-13 17:50,Delayed,45,Technical,T2,C19,A321,210,170,8552
1124,G8618,G8,Go First,AMD,MAA,2025-11-13 12:30,2025-11-13 14:55,On Time,0,,T2,A5,A320neo,180,139,3182
1125,UK795,UK,Vistara,BLR,IXC,2025-11-13 15:35,2025-11-13 17:08,On Time,0,,T1,B14,B737 MAX,186,49,6741
1126,UK993,UK,Vistara,IXC,VNS,2025-11-13 19:45,2025-11-13 21:01,On Time,0,,T4,B13,ATR-72,150,132,5314
1127,SG477,SG,SpiceJet,CCU,MAA,2025-11-13 09:30,2025-11-13 11:44,On Time,0,,T4,A11,A320neo,150,52,9586
1128,AI403,AI,Air India,AMD,NAG,2025-11-13 21:25,2025-11-13 23:34,On Time,0,,T3,D15,ATR-72,210,42,11747
1129,6E252,6E,IndiGo,NAG,DEL,2025-11-13 14:50,2025-11-13 17:30,On Time,0,,T3,C14,A320,186,70,7513
1130,G8768,G8,Go First,GOI,HYD,2025-11-13 06:00,2025-11-13 07:03,Delayed,60,Crew,T3,A1,A321,150,43,5600
1131,SG697,SG,SpiceJet,COK,HYD,2025-11-13 14:50,2025-11-13 16:14,On Time,0,,T3,B7,B737 MAX,186,158,10000
1132,6E824,6E,IndiGo,BLR,DEL,2025-11-14 09:40,2025-11-14 10:54,On Time,0,,T2,A9,ATR-72,180,105,4216
1133,UK111,UK,Vistara,PNQ,JAI,2025-11-14 06:45,2025-11-14 09:04,On Time,0,,T4,D17,B737 MAX,186,169,5593
1134,6E269,6E,IndiGo,NAG,GOI,2025-11-14 05:00,2025-11-14 06:05,On Time,0,,T1,D9,B737-800,150,53,6761
1135,AI897,AI,Air India,HYD,BLR,2025-11-14 08:00,2025-11-14 09:40,On Time,0,,T4,A19,A320neo,210,174,7009
1136,G8763,G8,Go First,AMD,IXC,2025-11-14 18:50,2025-11-14 20:24,Delayed,90,Weather,T3,D6,A320,186,113,4558
1137,SG832,SG,SpiceJet,PAT,NAG,2025-11-14 22:00,2025-11-15 00:26,Delayed,20,Technical,T4,C16,A320,180,151,4074
1138,6E759,6E,IndiGo,BOM,MAA,2025-11-14 06:10,2025-11-14 08:25,On Time,0,,T1,B14,A321,150,111,4488
1139,SG802,SG,SpiceJet,COK,IXC,2025-11-14 21:25,2025-11-14 23:30,On Time,0,,T1,B8,B737 MAX,186,40,4298
1140,6E961,6E,IndiGo,BLR,MAA,2025-11-14 11:15,2025-11-14 13:28,On Time,0,,T4,B5,A321,186,98,5649
1141,IX809,IX,Air India Express,PNQ,PAT,2025-11-14 22:40,2025-11-15 01:30,On Time,0,,T1,D8,A320,186,148,8406
1142,G8415,G8,Go First,NAG,HYD,2025-11-14 11:35,2025-11-14 12:44,On Time,0,,T2,D13,A320neo,210,50,5920
1143,AI736,AI,Air India,DEL,BOM,2025-11-14 10:30,2025-11-14 11:56,Cancelled,0,,T1,A4,A320,72,0,10437
1144,IX143,IX,Air India Express,NAG,IXC,2025-11-14 07:00,2025-11-14 08:06,On Time,0,,T3,D16,A320neo,186,173,4328
1145,IX493,IX,Air India Express,PAT,VNS,2025-11-15 08:20,2025-11-15 10:02,On Time,0,,T1,B7,A320,189,45,9868
1146,IX189,IX,Air India Express,VNS,PAT,2025-11-15 14:40,2025-11-15 15:55,On Time,0,,T1,A17,ATR-72,189,89,10207
1147,UK533,UK,Vistara,MAA,CCU,2025-11-15 13:00,2025-11-15 15:19,Cancelled,0,,T3,B13,A320,210,0,5149
1148,G8615,G8,Go First,PAT,CCU,2025-11-15 20:25,2025-11-15 21:22,On Time,0,,T1,C13,B737-800,180,168,10674
1149,UK580,UK,Vistara,JAI,BOM,2025-11-15 06:45,2025-11-15 08:30,On Time,0,,T3,A12,A320neo,210,153,10109
1150,6E395,6E,IndiGo,DEL,COK,2025-11-15 06:00,2025-11-15 08:19,On Time,0,,T1,D3,B737-800,180,83,2748
1151,UK951,UK,Vistara,GOI,AMD,2025-11-15 21:25,2025-11-15 22:55,Delayed,45,Technical,T2,B17,ATR-72,189,96,3318
1152,AI602,AI,Air India,BOM,IXC,2025-11-15 22:10,2025-11-16 00:23,Cancelled,0,,T1,C6,B737-800,72,0,7125
1153,AI532,AI,Air India,PAT,NAG,2025-11-15 05:30,2025-11-15 07:12,Delayed,60,Technical,T3,B19,B737-800,210,181,10269
1154,IX339,IX,Air India Express,PNQ,PAT,2025-11-15 19:15,2025-11-15 20:13,Delayed,45,Late inbound,T3,C5,B737 MAX,72,23,10915
1155,6E574,6E,IndiGo,NAG,CCU,2025-11-15 19:25,2025-11-15 21:14,Delayed,90,Technical,T3,A17,B737-800,72,55,10411
1156,UK408,UK,Vistara,COK,HYD,2025-11-15 09:15,2025-11-15 11:08,On Time,0,,T3,C2,A320neo,186,97,6716
1157,IX204,IX,Air India Express,HYD,MAA,2025-11-16 10:10,2025-11-16 11:50,On Time,0,,T2,C10,A320neo,72,64,2544
1158,UK545,UK,Vistara,MAA,NAG,2025-11-16 13:20,2025-11-16 14:37,On Time,0,,T3,A14,A320neo,210,141,7076
1159,AI508,AI,Air India,GOI,DEL,2025-11-16 18:20,2025-11-16 21:18,On Time,0,,T4,B18,A320,189,73,3717
1160,IX514,IX,Air India Express,MAA,AMD,2025-11-16 05:20,2025-11-16 08:00,On Time,0,,T4,D14,A320neo,150,115,9578
1161,IX816,IX,Air India Express,NAG,IXC,2025-11-16 12:15,2025-11-16 13:36,On Time,0,,T4,C19,A321,210,108,5858
1162,AI529,AI,Air India,IXC,NAG,2025-11-16 12:35,2025-11-16 14:05,On Time,0,,T4,B13,B737-800,180,152,7418
1163,SG630,SG,SpiceJet,DEL,AMD,2025-11-16 10:30,2025-11-16 11:22,On Time,0,,T4,C10,A320,189,46,10397
1164,6E264,6E,IndiGo,MAA,COK,2025-11-16 11:45,2025-11-16 14:04,On Time,0,,T4,A13,B737 MAX,72,27,2736
1165,G8116,G8,Go First,NAG,GOI,2025-11-16 16:45,2025-11-16 19:02,Delayed,45,Late inbound,T4,C13,A320neo,180,83,8342
1166,AI846,AI,Air India,JAI,PAT,2025-11-16 16:00,2025-11-16 17:54,Cancelled,0,,T4,B16,B737-800,180,0,5798
1167,SG530,SG,SpiceJet,DEL,BOM,2025-11-16 16:50,2025-11-16 18:47,On Time,0,,T2,A14,A321,72,61,5634
1168,6E920,6E,IndiGo,PNQ,COK,2025-11-16 17:40,2025-11-16 19:24,On Time,0,,T2,B2,A320,150,133,9463
1169,6E580,6E,IndiGo,JAI,IXC,2025-11-16 22:20,2025-11-16 23:47,Delayed,60,Technical,T4,C6,B737-800,72,32,5497
1170,SG463,SG,SpiceJet,JAI,VNS,2025-11-16 12:25,2025-11-16 14:51,On Time,0,,T4,B13,ATR-72,189,84,10379
1171,IX918,IX,Air India Express,DEL,JAI,2025-11-17 13:30,2025-11-17 15:22,On Time,0,,T3,B19,B737-800,210,166,10024
1172,IX187,IX,Air India Express,PNQ,AMD,2025-11-17 16:15,2025-11-17 18:22,On Time,0,,T1,C10,A320,186,181,10009
1173,6E643,6E,IndiGo,PAT,CCU,2025-11-17 16:50,2025-11-17 17:43,On Time,0,,T2,A2,A320,72,55,6427
1174,AI692,AI,Air India,MAA,AMD,2025-11-17 09:20,2025-11-17 10:57,On Time,0,,T3,C18,A320neo,186,90,7756
1175,G8271,G8,Go First,PAT,PNQ,2025-11-17 07:45,2025-11-17 09:51,On Time,0,,T4,B6,ATR-72,150,57,2823
1176,IX959,IX,Air India Express,COK,BOM,2025-11-17 19:10,2025-11-17 20:30,On Time,0,,T4,B14,A320neo,150,135,5130
1177,SG670,SG,SpiceJet,BLR,GOI,2025-11-17 06:40,2025-11-17 09:29,On Time,0,,T4,A19,A320neo,150,93,7360
1178,G8983,G8,Go First,BLR,COK,2025-11-17 05:15,2025-11-17 07:27,Delayed,45,Crew,T4,C20,ATR-72,210,117,7849
1179,AI284,AI,Air India,PNQ,IXC,2025-11-17 16:00,2025-11-17 16:55,On Time,0,,T1,D19,ATR-72,150,124,5764
1180,AI622,AI,Air India,PAT,CCU,2025-11-17 20:40,2025-11-17 22:06,On Time,0,,T2,A5,ATR-72,189,143,2739
1181,UK196,UK,Vistara,IXC,BLR,2025-11-17 16:30,2025-11-17 19:21,On Time,0,,T2,D8,A321,210,153,3952
1182,UK667,UK,Vistara,CCU,PNQ,2025-11-17 06:25,2025-11-17 08:29,On Time,0,,T4,C6,B737-800,189,122,11485
1183,G8453,G8,Go First,COK,MAA,2025-11-17 11:40,2025-11-17 13:00,On Time,0,,T2,C3,A321,72,59,2773
1184,G8750,G8,Go First,MAA,BLR,2025-11-17 07:00,2025-11-17 09:32,On Time,0,,T4,D11,B737 MAX,186,183,7440
1185,UK211,UK,Vistara,DEL,PNQ,2025-11-17 05:00,2025-11-17 06:38,On Time,0,,T1,D1,B737 MAX,186,176,4235
1186,6E741,6E,IndiGo,PNQ,AMD,2025-11-18 07:20,2025-11-18 08:20,On Time,0,,T2,C19,A320,189,83,5293
1187,SG893,SG,SpiceJet,VNS,DEL,2025-11-18 08:00,2025-11-18 10:24,On Time,0,,T3,A18,B737 MAX,186,103,5741
1188,6E531,6E,IndiGo,VNS,MAA,2025-11-18 06:30,2025-11-18 07:25,On Time,0,,T1,C16,B737-800,189,182,7881
1189,AI892,AI,Air India,COK,DEL,2025-11-18 18:50,2025-11-18 21:23,On Time,0,,T1,C18,A320,189,136,5832
1190,6E586,6E,IndiGo,AMD,IXC,2025-11-18 18:45,2025-11-18 20:01,Delayed,90,Weather,T4,A11,A320neo,180,74,8902
1191,AI800,AI,Air India,PNQ,DEL,2025-11-18 08:10,2025-11-18 09:55,On Time,0,,T2,A16,B737-800,72,15,11468
1192,G8348,G8,Go First,MAA,NAG,2025-11-18 19:15,2025-11-18 20:17,On Time,0,,T2,C7,ATR-72,150,127,7469
1193,IX670,IX,Air India Express,BOM,MAA,2025-11-18 20:40,2025-11-18 22:35,Cancelled,0,,T1,A7,A320,180,0,5603
